
Standard & Poors 500 Index,Last: 4246.5898,Change:  -8.5602
"Date: June 16, 2021, 7:34 AM EDT",Bid: 4207.4399,Ask: 4288.2002,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Jun 16 2021,SPXW210616C01200000,0,0,3043.1,3046,0,0,0.9999,0,0,1200.00,SPXW210616P01200000,0,0,0,0.05,0,6.5206,-0.0001,0,0
Wed Jun 16 2021,SPXW210616C01400000,0,0,2843.1,2846,0,0,0.9999,0,0,1400.00,SPXW210616P01400000,0,0,0,0.05,0,5.751,-0.0001,0,0
Wed Jun 16 2021,SPXW210616C01600000,0,0,2643.1,2646,0,0,0.9998,0,0,1600.00,SPXW210616P01600000,0,0,0,0.05,0,5.0582,-0.0001,0,0
Wed Jun 16 2021,SPXW210616C01700000,0,0,2543.1,2546,0,0,0.9998,0,0,1700.00,SPXW210616P01700000,0,0,0,0.05,0,4.7577,-0.0001,0,0
Wed Jun 16 2021,SPXW210616C01800000,0,0,2443.1,2446,0,0,0.9998,0,0,1800.00,SPXW210616P01800000,0,0,0,0.05,0,4.4527,-0.0001,0,0
Wed Jun 16 2021,SPXW210616C01900000,0,0,2343.1,2346,0,0,0.9998,0,0,1900.00,SPXW210616P01900000,0,0,0,0.05,0,4.229,-0.0001,0,5
Wed Jun 16 2021,SPXW210616C02000000,0,0,2243.1,2246,0,0,0.9998,0,0,2000.00,SPXW210616P02000000,0,0,0,0.05,0,3.9385,-0.0001,0,1
Wed Jun 16 2021,SPXW210616C02100000,0,0,2143.1,2146,0,0,0.9998,0,0,2100.00,SPXW210616P02100000,0,0,0,0.05,0,3.6885,-0.0001,0,8
Wed Jun 16 2021,SPXW210616C02200000,0,0,2043.1,2046,0,0,0.9998,0,0,2200.00,SPXW210616P02200000,0,0,0,0.05,0,3.4693,-0.0001,0,5
Wed Jun 16 2021,SPXW210616C02300000,0,0,1943.1,1946,0,0,0.9997,0,0,2300.00,SPXW210616P02300000,0,0,0,0.05,0,3.251,-0.0001,0,38
Wed Jun 16 2021,SPXW210616C02400000,0,0,1843.1,1846,0,0,0.9997,0,0,2400.00,SPXW210616P02400000,0,0,0,0.05,0,3.0228,-0.0001,0,322
Wed Jun 16 2021,SPXW210616C02500000,0,0,1743.1,1746,0,0,0.9997,0,0,2500.00,SPXW210616P02500000,0.05,0,0,0.05,0,2.8208,-0.0002,0,11
Wed Jun 16 2021,SPXW210616C02600000,0,0,1643.1,1646,0,0,0.9997,0,0,2600.00,SPXW210616P02600000,0.05,0,0,0.05,0,2.6237,-0.0002,0,39
Wed Jun 16 2021,SPXW210616C02700000,0,0,1543.1,1546,0,0,0.9997,0,0,2700.00,SPXW210616P02700000,0.05,0,0,0.05,0,2.4253,-0.0002,0,14
Wed Jun 16 2021,SPXW210616C02800000,0,0,1443.1,1446,0,0,0.9997,0,0,2800.00,SPXW210616P02800000,0.1,0,0,0.05,0,2.2461,-0.0002,0,12
Wed Jun 16 2021,SPXW210616C02900000,0,0,1343.1,1346,0,0,0.9996,0,0,2900.00,SPXW210616P02900000,0.05,0,0,0.05,0,2.0621,-0.0002,0,3084
Wed Jun 16 2021,SPXW210616C03000000,0,0,1243.1,1246,0,0,0.9996,0,0,3000.00,SPXW210616P03000000,0.05,0,0,0.05,0,1.9011,-0.0002,0,130
Wed Jun 16 2021,SPXW210616C03100000,0,0,1143.1,1146,0,0,0.9995,0,0,3100.00,SPXW210616P03100000,0.1,0,0,0.05,0,1.7341,-0.0003,0,387
Wed Jun 16 2021,SPXW210616C03150000,0,0,1093.1,1096,0,0,0.9995,0,0,3150.00,SPXW210616P03150000,0.05,0,0,0.05,0,1.6303,-0.0002,0,258
Wed Jun 16 2021,SPXW210616C03200000,0,0,1043.1,1046,0,0,0.9995,0,0,3200.00,SPXW210616P03200000,0.05,0,0,0.05,0,1.5635,-0.0003,0,1685
Wed Jun 16 2021,SPXW210616C03250000,0,0,993.1,996,0,0,0.9995,0,0,3250.00,SPXW210616P03250000,0.05,0,0,0.05,0,1.4697,-0.0003,0,2975
Wed Jun 16 2021,SPXW210616C03300000,0,0,943.1,946,0,0,0.9994,0,0,3300.00,SPXW210616P03300000,0.05,0,0,0.05,0,1.3992,-0.0003,0,1618
Wed Jun 16 2021,SPXW210616C03325000,0,0,918.1,921,0,0,0.9994,0,0,3325.00,SPXW210616P03325000,0.05,0,0,0.05,0,1.3604,-0.0003,0,159
Wed Jun 16 2021,SPXW210616C03350000,0,0,893.1,896,0,0,0.9994,0,0,3350.00,SPXW210616P03350000,0.05,0,0,0.05,0,1.3135,-0.0003,0,240
Wed Jun 16 2021,SPXW210616C03375000,0,0,868.1,871,0,0,0.9989,0,0,3375.00,SPXW210616P03375000,0.05,0,0,0.05,0,1.2746,-0.0003,0,10000
Wed Jun 16 2021,SPXW210616C03400000,836.05,0,843.1,846,0,0,0.9994,0,6,3400.00,SPXW210616P03400000,0.05,0.025,0,0.05,1,1.251,-0.0004,0,1974
Wed Jun 16 2021,SPXW210616C03425000,0,0,818.1,821,0,0,0.9994,0,0,3425.00,SPXW210616P03425000,0.05,0,0,0.05,0,1.2086,-0.0004,0,1678
Wed Jun 16 2021,SPXW210616C03450000,768.55,0,793.1,796,0,0,0.9994,0,18,3450.00,SPXW210616P03450000,0.05,0,0,0.05,0,1.1683,-0.0004,0,6146
Wed Jun 16 2021,SPXW210616C03475000,760.75,0,768.1,771,0,0,0.9983,0,4,3475.00,SPXW210616P03475000,0.05,0,0,0.05,0,1.126,-0.0004,0,541
Wed Jun 16 2021,SPXW210616C03500000,735.42,0,743.1,746,0,0,0.9982,0,1,3500.00,SPXW210616P03500000,0.05,0,0,0.05,0,1.0947,-0.0004,0,6053
Wed Jun 16 2021,SPXW210616C03525000,0,0,718.1,721,0,0,0.9982,0,0,3525.00,SPXW210616P03525000,0.05,0,0,0.05,0,1.0479,-0.0004,0,3209
Wed Jun 16 2021,SPXW210616C03550000,688.58,0,693.1,696,0,0,0.9986,0,1,3550.00,SPXW210616P03550000,0.05,0,0,0.05,0,1.0212,-0.0004,0,5210
Wed Jun 16 2021,SPXW210616C03575000,653.82,0,668.1,671,0,0,0.9992,0,2,3575.00,SPXW210616P03575000,0.05,0,0,0.05,0,0.9848,-0.0005,0,1532
Wed Jun 16 2021,SPXW210616C03590000,0,0,653.1,655.9,0,0,0.9986,0,0,3590.00,SPXW210616P03590000,0.05,0,0,0.05,0,0.9639,-0.0005,0,27
Wed Jun 16 2021,SPXW210616C03600000,628.82,0,643.1,645.9,0,0,0.9985,0,2,3600.00,SPXW210616P03600000,0.05,-0.025,0,0.05,2,0.948,-0.0005,0,6423
Wed Jun 16 2021,SPXW210616C03610000,0,0,633.1,635.9,0,0,0.9985,0,0,3610.00,SPXW210616P03610000,0.1,0,0,0.05,0,0.932,-0.0005,0,11
Wed Jun 16 2021,SPXW210616C03620000,0,0,623,625.9,0,0,0.9985,0,0,3620.00,SPXW210616P03620000,0.1,0,0,0.05,0,0.9136,-0.0005,0,168
Wed Jun 16 2021,SPXW210616C03625000,0,0,618,620.9,0,0,0.9985,0,0,3625.00,SPXW210616P03625000,0.1,0,0,0.05,0,0.9063,-0.0005,0,1759
Wed Jun 16 2021,SPXW210616C03630000,0,0,613,615.9,0,0,0.9985,0,0,3630.00,SPXW210616P03630000,0.05,0,0,0.05,0,0.9035,-0.0005,0,10
Wed Jun 16 2021,SPXW210616C03640000,0,0,603.1,605.9,0,0,0.9985,0,0,3640.00,SPXW210616P03640000,0.05,0,0,0.05,5,0.8879,-0.0005,0,9
Wed Jun 16 2021,SPXW210616C03650000,0,0,593.1,595.9,0,0,0.9984,0,0,3650.00,SPXW210616P03650000,0.05,-0.025,0,0.05,10,0.8726,-0.0005,0,4260
Wed Jun 16 2021,SPXW210616C03660000,576.8,0,583.1,585.9,0,0,0.9984,0,6,3660.00,SPXW210616P03660000,0.05,-0.025,0,0.05,5,0.855,-0.0005,0,3847
Wed Jun 16 2021,SPXW210616C03670000,548.55,0,573.1,576,0,0,0.9984,0,4,3670.00,SPXW210616P03670000,0.05,-0.025,0,0.05,98,0.8351,-0.0005,0,149
Wed Jun 16 2021,SPXW210616C03675000,0,0,568.1,571,0,0,0.9991,0,0,3675.00,SPXW210616P03675000,0.05,-0.025,0,0.05,6,0.8279,-0.0005,0,3561
Wed Jun 16 2021,SPXW210616C03680000,0,0,563.1,566,0,0,0.9991,0,0,3680.00,SPXW210616P03680000,0.1,0,0,0.05,0,0.8207,-0.0005,0,3049
Wed Jun 16 2021,SPXW210616C03690000,546.85,0,553.1,556,0,0,0.9991,0,6,3690.00,SPXW210616P03690000,0.05,-0.05,0,0.05,24,0.8108,-0.0005,0,1824
Wed Jun 16 2021,SPXW210616C03700000,529.02,0,543.1,546,0,0,0.999,0,10,3700.00,SPXW210616P03700000,0.05,-0.075,0,0.05,495,0.7964,-0.0005,0,7745
Wed Jun 16 2021,SPXW210616C03710000,529.53,0,533.1,536,0,0,0.9983,0,10,3710.00,SPXW210616P03710000,0.05,-0.05,0,0.05,231,0.8553,-0.0014,0,701
Wed Jun 16 2021,SPXW210616C03720000,516.18,0,523.1,526,0,0,0.9983,0,10,3720.00,SPXW210616P03720000,0.05,-0.05,0,0.05,58,1.0343,-0.0005,0,126
Wed Jun 16 2021,SPXW210616C03725000,504.3,0,518.1,521,0,0,0.9982,0,3,3725.00,SPXW210616P03725000,0.05,-0.075,0,0.05,1528,0.8036,-0.001,0,1977
Wed Jun 16 2021,SPXW210616C03730000,0,0,513.1,516,0,0,0.9982,0,0,3730.00,SPXW210616P03730000,0.05,-0.075,0,0.05,62,1.0219,-0.0006,0,173
Wed Jun 16 2021,SPXW210616C03740000,0,0,503.1,506,0,0,0.9982,0,0,3740.00,SPXW210616P03740000,0.1,0,0,0.05,0,1.0001,-0.0006,0,339
Wed Jun 16 2021,SPXW210616C03750000,488.63,0,493.1,496,0,0,0.9981,0,6,3750.00,SPXW210616P03750000,0.07,-0.055,0,0.05,21,0.9778,-0.0005,0,1105
Wed Jun 16 2021,SPXW210616C03760000,0,0,484,485.2,0,0,0.9973,0,0,3760.00,SPXW210616P03760000,0.15,0,0,0.05,0,0.9626,-0.0006,0,453
Wed Jun 16 2021,SPXW210616C03770000,472.22,0,474,475.2,0,0,0.9973,0,4,3770.00,SPXW210616P03770000,0.07,-0.08,0,0.05,6,0.9375,-0.0006,0,437
